f [Hz],h²Ω (SKA5),h²Ω (SKA10),h²Ω (SKA20),h²Ω (EPTA),h²Ω (1OGrav),h²Ω (LISA),h²Ω (BDECIGO),h²Ω (DECIGO),h²Ω (BBO),h²Ω (ET)
0.00251188643151,1,1,1,1,1,5.62452250740564E-12,1,8.75233503545805E-12,3.88238951769777E-12,1
0.002754228703338,1,1,1,1,1,5.27035099831247E-12,1,7.95632607646615E-12,3.81421189004353E-12,1
0.003019951720402,1,1,1,1,1,5.30019161106429E-12,1,7.40313602614322E-12,3.80891660270254E-12,1
0.003311311214826,1,1,1,1,1,5.64051343621476E-12,1,7.01164031376777E-12,3.84803224409767E-12,1
0.003630780547701,1,1,1,1,1,6.28301563545868E-12,1,6.73377282164639E-12,3.92070186070222E-12,1
0.003981071705535,1,1,1,1,1,7.26986578295313E-12,1,6.53988964265922E-12,4.02028799567384E-12,1
0.004365158322402,1,1,1,1,1,8.68572940238814E-12,1,6.41103696456853E-12,4.14256941061178E-12,1
0.004786300923226,1,1,1,1,1,1.06579589029354E-11,1,6.3346518843674E-12,4.28472644795589E-12,1
0.005248074602498,1,1,1,1,1,1.33644854156342E-11,1,6.30206412199053E-12,4.44473679859141E-12,1
0.005754399373372,1,1,1,1,1,1.70491142664866E-11,1,6.3069847691005E-12,4.62099229940045E-12,1
0.006309573444802,1,1,1,1,1,2.20450406444425E-11,1,6.34455435827704E-12,4.81203641421645E-12,1
0.006918309709189,1,1,1,1,1,2.88089215863807E-11,1,6.41071473085222E-12,5.01636628542129E-12,1
0.007585775750292,1,1,1,1,1,3.79696793066149E-11,1,6.50176956591807E-12,5.23226633108318E-12,1
0.008317637711027,1,1,1,1,1,5.03986183905298E-11,1,6.61405327955117E-12,5.45765306890998E-12,1
0.009120108393559,1,1,1,1,1,6.73108866962596E-11,1,6.74365938545934E-12,5.68991838748877E-12,1
0.01,1,1,1,1,1,9.04134880551673E-11,2.00457683918829E-09,6.88619844067959E-12,5.92576359605903E-12,1
0.010964781961432,1,1,1,1,1,1.2212298659248E-10,1.8281963197719E-09,7.03656834928178E-12,6.16102089147705E-12,1
0.012022644346174,1,1,1,1,1,1.65888296932821E-10,1.66733553783204E-09,7.18872955077481E-12,6.39046353155395E-12,1
0.013182567385564,1,1,1,1,1,2.26672989613254E-10,1.52062897676767E-09,7.33548675885029E-12,6.60761196987696E-12,1
0.014454397707459,1,1,1,1,1,3.11681242922721E-10,1.38683128720983E-09,7.46828912005863E-12,6.80455141345456E-12,1
